t,pos,vel,acc,robot
0,-7.51E-06,-0.001501641,-0.150164103,-0.13
0.01,-3.00E-05,-0.003003192,-0.150155063,-1.30E-01
0.02,-6.76E-05,-0.004504375,-0.150118286,-1.30E-01
0.03,-0.000120116,-0.006004803,-0.150042882,-1.30E-01
0.04,-0.00018766,-0.007504067,-0.149926389,-1.30E-01
0.05,-0.000270189,-0.009001731,-0.149766356,-1.30E-01
0.06,-0.000367685,-0.010497334,-0.149560339,-1.30E-01
0.07,-0.000480123,-0.011990393,-0.14930591,-1.30E-01
0.08,-0.000607477,-0.0134804,-0.149000651,-0.129961108
0.09,-0.000749713,-0.014966821,-0.14864216,-0.129949125
0.1,-0.000906793,-0.016449102,-0.14822805,-0.129935283
0.11,-0.001078672,-0.017926661,-0.147755952,-0.129919503
0.12,-0.0012653,-0.019398897,-0.147223513,-0.129901707
0.13,-0.00146662,-0.020865181,-0.146628404,-0.129881817
0.14,-0.00168257,-0.022324864,-0.145968314,-0.129859756
0.15,-0.001913081,-0.023777273,-0.145240956,-0.129835448
0.16,-0.002158076,-0.025221714,-0.144444067,-0.129808818
0.17,-0.002417472,-0.026657468,-0.14357541,-0.129779791
0.18,-0.002691178,-0.028083796,-0.142632775,-0.129748293
0.19,-0.002979097,-0.029499936,-0.141613984,-0.129714253
0.2,-0.003281122,-0.030905104,-0.140516885,-0.129677599
0.21,-0.00359714,-0.032298498,-0.139339363,-0.129638261
0.22,-0.003927029,-0.033679291,-0.138079333,-0.129596169
0.23,-0.004270659,-0.035046639,-0.136734749,-0.129551256
0.24,-0.00462789,-0.036399675,-0.135303602,-0.129503455
0.25,-0.004998576,-0.037737514,-0.133783922,-0.129452702
0.26,-0.00538256,-0.039059252,-0.132173781,-0.129398932
0.27,-0.005779676,-0.040363965,-0.130471292,-0.129342084
0.28,-0.006189749,-0.041650711,-0.128674615,-0.129282097
0.29,-0.006612596,-0.042918531,-0.126781957,-0.129218911
0.3,-0.007048021,-0.044166446,-0.124791574,-0.12915247
0.31,-0.00749582,-0.045393464,-0.122701771,-0.129082718
0.32,-0.00795578,-0.046598573,-0.120510907,-0.129009602
0.33,-0.008427677,-0.047780747,-0.118217397,-0.128933069
0.34,-0.008911275,-0.048938944,-0.115819711,-0.12885307
0.35,-0.009406331,-0.050072108,-0.113316377,-0.128769557
0.36,-0.009912587,-0.051179168,-0.110705987,-0.128682484
0.37,-0.010429778,-0.05225904,-0.107987193,-0.128591807
0.38,-0.010957626,-0.053310627,-0.105158714,-0.128497487
0.39,-0.011495844,-0.05433282,-0.102219335,-0.128399482
0.4,-0.01204413,-0.055324499,-0.09916791,-0.128297758
0.41,-0.012602175,-0.056284533,-0.096003366,-0.128192279
0.42,-0.013169657,-0.05721178,-0.092724702,-0.128083014
0.43,-0.013746241,-0.05810509,-0.089330993,-0.127969934
0.44,-1.43E-02,-0.058963304,-0.085821391,-0.127853013
0.45,-0.014925326,-0.059785255,-0.08219513,-0.127732227
0.46,-0.015527101,-0.06056977,-0.078451524,-0.127607555
0.47,-0.016136528,-0.06131567,-0.074589973,-0.127478979
0.48,-0.016753216,-0.06202177,-0.070609961,-0.127346484
0.49,-0.017376759,-0.06268688,-0.066511064,-0.127210057
0.5,-0.018006742,-0.06330981,-0.062292945,-0.127069691
0.51,-0.018642738,-0.063889363,-0.057955362,-0.12692538
0.52,-0.019284307,-0.064424345,-0.053498169,-0.126777119
0.53,-0.019930996,-0.064913558,-0.048921314,-0.126624911
0.54,-0.020582343,-0.065355807,-0.044224846,-0.126468759
0.55,-0.021237871,-0.065749896,-0.039408917,-0.126308671
0.56,-0.021897094,-0.066094634,-0.034473779,-0.126144658
0.57,-0.022559511,-0.066388832,-0.029419791,-0.125976734
0.58,-0.023224612,-0.066631306,-0.024247422,-0.125804917
0.59,-0.023891873,-0.066820878,-0.018957247,-0.125629228
0.6,-0.024560759,-0.066956378,-0.013549953,-0.125449694
0.61,-0.025230724,-0.067036641,-0.008026343,-0.125266344
0.62,-0.02590121,-0.067060515,-0.002387334,-0.125079211
0.63,-0.026571647,-0.067026854,0.003366041,-0.124888331
0.64,-0.027241454,-0.066934528,0.009232627,-0.124693746
0.65,-0.027910039,-0.066782416,0.015211151,-0.124495501
0.66,-0.028576798,-0.066569414,0.021300213,-0.124293644
0.67,-0.029241117,-0.066294431,0.027498292,-0.12408823
0.68,-0.029902371,-0.065956394,0.03380374,-0.123879316
0.69,-0.030559924,-0.065554246,0.040214779,-0.123666962
0.7,-0.03121313,-0.065086951,0.046729503,-0.123451235
0.71,-0.031861333,-0.064553492,0.053345874,-0.123232206
